((	Baix_Llobregat	7728	PSC	Industria	1.51	0.93	0.00	0.76	0.98	0.58	0.03	0.05	0.23	0.28	1.64	0.09	p129	p128	p124	))
((	V_Oriental	2162	CiU	Industria	0.51	0.00	0.00	0.23	0.00	0.46	0.05	0.00	0.09	0.00	0.51	0.05	p133	p128	p124	))
((	Maresme	8176	CiU	Servicios	1.79	0.00	0.00	0.37	0.18	0.16	0.01	0.00	0.09	0.18	0.24	0.18	p129	p128	p124	))
((	V_Oriental	5294	Otros	Industria	2.68	0.00	0.02	2.21	0.34	0.36	0.02	0.06	0.72	0.53	0.83	0.76	p136	p128	p123	))
((	Maresme	12345	CiU	Servicios	0.97	0.00	0.00	0.18	0.12	1.36	0.00	0.00	0.05	0.94	0.57	0.11	p129	p128	p124	))
((	Maresme	6037	Otros	Servicios	1.16	0.00	0.00	0.75	0.33	0.84	0.02	0.00	0.33	0.61	0.80	0.17	p129	p128	p124	))
((	Maresme	9213	CiU	Industria	2.45	0.00	0.33	0.39	0.72	0.23	0.00	0.02	0.24	0.25	0.63	0.20	p129	ARGENTONA	z9	))
((	Alt_Penedes	1187	PSC	Industria	0.84	0.00	0.00	0.42	0.08	0.17	0.00	0.08	0.25	0.08	0.17	0.08	p133	p128	p124	))
((	Barcelones	209635	PSC	Servicios	0.34	0.00	0.08	0.01	0.05	0.49	0.00	0.01	0.05	0.12	0.26	0.10	p133	p128	p124	))
((	V_Occidental	15885	PSC	Servicios	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	p129	p128	p124	))
((	V_Occidental	26342	PSC	Industria	0.71	0.00	0.00	0.09	0.03	0.73	0.00	0.01	0.10	0.25	0.41	0.08	p129	p128	p124	))
((	Barcelones	1503451	PSC	Servicios	0.35	0.06	0.05	0.02	0.03	0.39	0.00	0.01	0.01	0.07	0.31	0.04	BARCELONA	p128	BARCELONA	))
((	Baix_Llobregat	3838	Otros	Servicios	3.54	0.00	0.03	1.95	0.76	0.63	0.05	0.03	0.57	0.65	0.99	1.04	p136	p128	p123	))
((	V_Oriental	5006	CiU	Industria	2.30	0.00	0.00	2.38	0.18	0.52	0.06	0.04	0.80	1.00	0.88	0.30	m11	m12	m12	))
((	Alt_Penedes	516	CiU	Servicios	3.68	0.00	0.00	0.78	0.00	0.00	0.00	0.19	0.00	0.00	0.58	0.00	p133	p128	p124	))
((	Maresme	3628	ERC	Servicios	1.79	0.00	0.00	0.85	0.00	0.06	0.00	0.00	0.06	0.22	0.55	0.08	p133	p128	p124	))
((	Maresme	4352	CiU	Servicios	1.38	0.00	0.00	1.54	1.03	0.69	0.02	0.07	0.28	1.24	1.33	0.32	p129	p128	p124	))
((	Maresme	1937	PSC	Servicios	0.88	0.00	0.00	0.41	1.19	0.26	0.00	0.00	1.24	0.10	0.46	0.05	m11	m12	m12	))
((	V_Oriental	12445	PSC	Servicios	1.26	0.00	0.00	0.45	0.21	0.69	0.02	0.01	0.05	0.57	0.47	0.23	p133	p128	p124	))
((	Maresme	12503	Otros	Servicios	0.79	0.00	0.00	0.22	0.30	0.88	0.00	0.17	0.07	0.45	0.70	0.02	p129	p128	p124	))
((	V_Oriental	279	CiU	Servicios	0.00	0.00	0.00	3.58	0.00	0.36	0.00	0.36	0.72	2.87	0.00	0.00	p136	p128	p123	))
((	Maresme	9852	Otros	Servicios	0.84	1.95	0.00	0.38	0.62	1.75	0.00	0.07	0.25	0.35	1.74	0.33	p129	p128	p124	))
((	V_Oriental	13165	PSC	Industria	0.33	0.96	0.00	0.08	0.02	1.05	0.00	0.00	0.01	0.24	0.89	0.02	p133	p128	p124	))
((	V_Oriental	1750	PSC	Construccion	1.83	0.00	0.00	1.94	0.00	0.00	0.06	0.00	0.57	0.51	0.46	0.34	p133	p128	p124	))
((	Garraf	1684	CiU	Servicios	4.63	0.00	0.00	5.40	0.71	0.06	0.24	0.36	1.66	1.72	1.66	0.53	g3	g3	r159	))
((	V_Oriental	11676	PSC	Industria	2.40	0.88	0.45	0.36	0.21	1.81	0.00	0.01	0.18	0.35	1.46	0.38	p132	r152	z9	))
((	V_Occidental	16863	CiU	Industria	2.54	0.01	0.50	0.45	0.44	0.78	0.01	0.01	0.20	0.34	0.86	0.26	p132	r153	z9	))
((	V_Occidental	7269	Otros	Industria	4.51	0.00	0.00	0.55	0.26	3.23	0.07	0.00	0.36	0.40	2.31	0.91	p136	p128	p123	))
((	V_Oriental	356	Otros	Construccion	4.49	0.00	0.00	2.53	0.56	1.69	0.00	0.00	1.12	0.56	0.84	2.25	m11	m12	m12	))
((	Baix_Llobregat	43307	PSC	Servicios	1.18	0.14	0.00	0.17	0.10	1.28	0.00	0.01	0.03	0.17	1.21	0.14	p129	p128	p124	))
((	Alt_Penedes	1348	PSC	Industria	1.41	0.00	0.00	1.71	0.15	0.00	0.07	0.00	0.67	0.45	0.37	0.30	p136	p128	p123	))
((	V_Oriental	2004	CiU	Servicios	0.40	0.00	0.00	0.40	0.25	0.15	0.00	0.00	0.10	0.25	0.40	0.05	p133	p128	p124	))
((	Alt_Penedes	1459	CiU	Industria	0.27	0.00	0.00	0.07	0.14	0.00	0.00	0.07	0.00	0.00	0.14	0.00	p133	p128	p124	))
((	Baix_Llobregat	1055	Otros	Servicios	2.18	0.00	0.00	0.95	0.57	0.95	0.00	0.09	0.38	0.85	1.14	0.00	p129	p128	p124	))
((	V_Occidental	52166	PSC	Servicios	0.74	0.00	0.00	0.16	0.08	0.68	0.00	0.04	0.09	0.09	0.60	0.11	p129	p128	p124	))
((	Baix_Llobregat	5617	PSC	Industria	4.40	0.00	0.00	1.12	0.41	0.98	0.02	0.04	0.32	0.75	0.61	0.78	p129	p128	p124	))
((	Baix_Llobregat	1882	PSC	Servicios	3.51	0.00	0.05	21.25	2.50	0.00	0.00	0.00	0.96	0.96	21.36	0.48	COLLBATO	m12	m12	))
((	Baix_Llobregat	8708	Otros	Servicios	2.51	0.00	0.01	1.81	0.05	2.03	0.08	0.09	0.71	2.17	0.57	0.26	p136	p128	p124	))
((	Baix_Llobregat	80329	PSC	Servicios	0.66	0.00	0.00	0.02	0.05	0.35	0.00	0.00	0.03	0.07	0.29	0.02	p129	p128	p124	))
